,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
120,C6,4,,Ct,Ml,Ct-malate
121,C7,4,,Ct,Ml,Ml-malate
122,C8,4,,Ct,Ml,Ml-malate
123,C9,4,,Ct,Ml,Ml-malate
124,C10,4,,Ct,Ml,Oa-malate
125,C11,4,,Ct,Ml,Oa-malate
126,C12,4,,Ct,Ml,Oa-malate
127,D1,4,,Ct,Oa,At-malate
128,D2,4,,Ct,Oa,At-malate
129,D3,4,,Ct,Oa,At-malate
130,D4,4,,Ct,Oa,Ct-malate
131,D5,4,,Ct,Oa,Ct-malate
132,D7,4,,Ct,Oa,Ml-malate
133,D8,4,,Ct,Oa,Ml-malate
134,D9,4,,Ct,Oa,Ml-malate
135,D10,4,,Ct,Oa,Oa-malate
136,D11,4,,Ct,Oa,Oa-malate
137,D12,4,,Ct,Oa,Oa-malate
138,E1,4,,Ct,At,No-CS
139,E2,4,,Ct,At,No-CS
140,E3,4,,Ct,At,No-CS
141,E7,4,,Ct,Ml,No-CS
142,E8,4,,Ct,Ml,No-CS
143,E9,4,,Ct,Ml,No-CS
144,E10,4,,Ct,Oa,No-CS
145,E11,4,,Ct,Oa,No-CS
146,F1,4,42000000.0,Ct,Ct+Ml,At-malate
147,F2,4,42000000.0,Ct,Ct+Ml,At-malate
148,F3,4,52000000.0,Ct,Ct+Ml,At-malate
149,F4,4,,Ct,At+Ml,Ct-malate
150,F5,4,,Ct,At+Ml,Ct-malate
151,F6,4,,Ct,At+Ml,Ct-malate
152,F7,4,1360000000.0,Ct,At+Ct,Ml-malate
153,F8,4,1380000000.0,Ct,At+Ct,Ml-malate
154,F9,4,1320000000.0,Ct,At+Ct,Ml-malate
155,F10,4,106000000.0,Ct,At+Ct,Oa-malate
156,F11,4,108000000.0,Ct,At+Ct,Oa-malate
157,F12,4,106000000.0,Ct,At+Ct,Oa-malate
158,G1,4,36000000.0,Ct,Ct+Oa,At-malate
159,G2,4,64000000.0,Ct,Ct+Oa,At-malate
160,G3,4,56000000.0,Ct,Ct+Oa,At-malate
161,G4,4,,Ct,At+Oa,Ct-malate
162,G5,4,,Ct,At+Oa,Ct-malate
163,G6,4,,Ct,At+Oa,Ct-malate
164,G7,4,,Ct,At+Oa,Ml-malate
165,G8,4,,Ct,At+Oa,Ml-malate
166,G9,4,,Ct,At+Oa,Ml-malate
167,G10,4,,Ct,At+Ml,Oa-malate
168,G11,4,,Ct,At+Ml,Oa-malate
169,G12,4,,Ct,At+Ml,Oa-malate
170,H1,4,,Ct,Ml+Oa,At-malate
171,H2,4,,Ct,Ml+Oa,At-malate
172,H3,4,,Ct,Ml+Oa,At-malate
173,H4,4,,Ct,Ml+Oa,Ct-malate
174,H5,4,,Ct,Ml+Oa,Ct-malate
175,H6,4,,Ct,Ml+Oa,Ct-malate
176,H7,4,1520000000.0,Ct,Ct+Oa,Ml-malate
177,H8,4,1100000000.0,Ct,Ct+Oa,Ml-malate
178,H9,4,1640000000.0,Ct,Ct+Oa,Ml-malate
179,H10,4,26000000.0,Ct,Ct+Ml,Oa-malate
180,H11,4,82000000.0,Ct,Ct+Ml,Oa-malate
181,H12,4,32000000.0,Ct,Ct+Ml,Oa-malate
182,Inoculum,0,857565.3031049778,Ml,,
183,Inoculum,0,3716116.3134549037,Ml,,
184,Inoculum,0,3144406.1113849184,Ml,,
185,A1,4,,Ml,At,At-malate
186,A2,4,,Ml,At,At-malate
187,A3,4,,Ml,At,At-malate
188,A4,4,,Ml,At,Ct-malate
189,A5,4,,Ml,At,Ct-malate
190,A6,4,,Ml,At,Ct-malate
191,A7,4,,Ml,At,Ml-malate
192,A8,4,,Ml,At,Ml-malate
193,A9,4,,Ml,At,Ml-malate
194,A12,4,,Ml,At,Oa-malate
195,B1,4,,Ml,Ct,At-malate
196,B2,4,,Ml,Ct,At-malate
197,B3,4,,Ml,Ct,At-malate
198,B4,4,,Ml,Ct,Ct-malate
199,B6,4,,Ml,Ct,Ct-malate
200,B7,4,,Ml,Ct,Ml-malate
201,B8,4,,Ml,Ct,Ml-malate
202,B9,4,,Ml,Ct,Ml-malate
203,B10,4,,Ml,Ct,Oa-malate
204,B11,4,,Ml,Ct,Oa-malate
205,B12,4,,Ml,Ct,Oa-malate
206,C1,4,1360000.0,Ml,Ml,At-malate
207,C2,4,1340000.0,Ml,Ml,At-malate
208,C3,4,,Ml,Ml,At-malate
209,C4,4,,Ml,Ml,Ct-malate
210,C5,4,60000000.0,Ml,Ml,Ct-malate
211,C6,4,50000000.0,Ml,Ml,Ct-malate
212,C7,4,520000.0,Ml,Ml,Ml-malate
213,C8,4,300000.0,Ml,Ml,Ml-malate
214,C9,4,340000.0,Ml,Ml,Ml-malate
215,C10,4,18000000.0,Ml,Ml,Oa-malate
216,C11,4,30000000.0,Ml,Ml,Oa-malate
217,C12,4,18000000.0,Ml,Ml,Oa-malate
218,D1,4,,Ml,Oa,At-malate
219,D2,4,,Ml,Oa,At-malate
220,D3,4,,Ml,Oa,At-malate
221,D4,4,,Ml,Oa,Ct-malate
222,D5,4,,Ml,Oa,Ct-malate
223,D7,4,,Ml,Oa,Ml-malate
224,D8,4,,Ml,Oa,Ml-malate
225,D9,4,,Ml,Oa,Ml-malate
226,D10,4,,Ml,Oa,Oa-malate
227,D11,4,,Ml,Oa,Oa-malate
228,D12,4,,Ml,Oa,Oa-malate
229,E1,4,,Ml,At,No-CS
230,E2,4,,Ml,At,No-CS
231,E3,4,,Ml,At,No-CS
232,E7,4,10000.0,Ml,Ml,No-CS
233,E8,4,4000.0,Ml,Ml,No-CS
234,E9,4,10000.0,Ml,Ml,No-CS
235,E10,4,,Ml,Oa,No-CS
236,E11,4,,Ml,Oa,No-CS
237,F1,4,8400000.0,Ml,Ct+Ml,At-malate
238,F2,4,8800000.0,Ml,Ct+Ml,At-malate
239,F3,4,13800000.0,Ml,Ct+Ml,At-malate
240,F4,4,108000000.0,Ml,At+Ml,Ct-malate
241,F5,4,86000000.0,Ml,At+Ml,Ct-malate
242,F6,4,66000000.0,Ml,At+Ml,Ct-malate
243,F7,4,,Ml,At+Ct,Ml-malate
244,F8,4,,Ml,At+Ct,Ml-malate
245,F9,4,,Ml,At+Ct,Ml-malate
246,F10,4,,Ml,At+Ct,Oa-malate
247,F11,4,,Ml,At+Ct,Oa-malate
248,F12,4,,Ml,At+Ct,Oa-malate
249,G1,4,,Ml,Ct+Oa,At-malate
250,G2,4,,Ml,Ct+Oa,At-malate
251,G3,4,,Ml,Ct+Oa,At-malate
252,G4,4,,Ml,At+Oa,Ct-malate
253,G5,4,,Ml,At+Oa,Ct-malate
254,G6,4,,Ml,At+Oa,Ct-malate
255,G7,4,,Ml,At+Oa,Ml-malate
256,G8,4,,Ml,At+Oa,Ml-malate
257,G9,4,,Ml,At+Oa,Ml-malate
258,G10,4,28000000.0,Ml,At+Ml,Oa-malate
259,G11,4,36000000.0,Ml,At+Ml,Oa-malate
260,G12,4,40000000.0,Ml,At+Ml,Oa-malate
261,H1,4,2800000.0,Ml,Ml+Oa,At-malate
262,H2,4,3400000.0,Ml,Ml+Oa,At-malate
263,H3,4,8000000.0,Ml,Ml+Oa,At-malate
264,H4,4,58000000.0,Ml,Ml+Oa,Ct-malate
265,H5,4,56000000.0,Ml,Ml+Oa,Ct-malate
266,H6,4,60000000.0,Ml,Ml+Oa,Ct-malate
267,H7,4,,Ml,Ct+Oa,Ml-malate
268,H8,4,,Ml,Ct+Oa,Ml-malate
269,H9,4,,Ml,Ct+Oa,Ml-malate
270,H10,4,8800000.0,Ml,Ct+Ml,Oa-malate
271,H11,4,11200000.0,Ml,Ct+Ml,Oa-malate
272,H12,4,8600000.0,Ml,Ct+Ml,Oa-malate
273,Inoculum,0,6274509.803921568,Oa,,
274,Inoculum,0,12156862.74509804,Oa,,
275,Inoculum,0,705882.3529411765,Oa,,
276,A1,4,,Oa,At,At-malate
277,A2,4,,Oa,At,At-malate
278,A3,4,,Oa,At,At-malate
279,A4,4,,Oa,At,Ct-malate
280,A5,4,,Oa,At,Ct-malate
281,A6,4,,Oa,At,Ct-malate
282,A7,4,,Oa,At,Ml-malate
283,A8,4,,Oa,At,Ml-malate
284,A9,4,,Oa,At,Ml-malate
285,A12,4,,Oa,At,Oa-malate
286,B1,4,,Oa,Ct,At-malate
287,B2,4,,Oa,Ct,At-malate
288,B3,4,,Oa,Ct,At-malate
289,B4,4,,Oa,Ct,Ct-malate
290,B6,4,,Oa,Ct,Ct-malate
291,B7,4,,Oa,Ct,Ml-malate
292,B8,4,,Oa,Ct,Ml-malate
293,B9,4,,Oa,Ct,Ml-malate
294,B10,4,,Oa,Ct,Oa-malate
295,B11,4,,Oa,Ct,Oa-malate
296,B12,4,,Oa,Ct,Oa-malate
297,C1,4,,Oa,Ml,At-malate
298,C2,4,,Oa,Ml,At-malate
299,C3,4,,Oa,Ml,At-malate
300,C4,4,,Oa,Ml,Ct-malate
301,C5,4,,Oa,Ml,Ct-malate
302,C6,4,,Oa,Ml,Ct-malate
303,C7,4,,Oa,Ml,Ml-malate
304,C8,4,,Oa,Ml,Ml-malate
305,C9,4,,Oa,Ml,Ml-malate
306,C10,4,,Oa,Ml,Oa-malate
307,C11,4,,Oa,Ml,Oa-malate
308,C12,4,,Oa,Ml,Oa-malate
309,D1,4,2400000000.0,Oa,Oa,At-malate
310,D2,4,6600000000.0,Oa,Oa,At-malate
311,D3,4,2200000000.0,Oa,Oa,At-malate
312,D4,4,1780000000.0,Oa,Oa,Ct-malate
313,D5,4,1000000000.0,Oa,Oa,Ct-malate
314,D7,4,3800000000.0,Oa,Oa,Ml-malate
315,D8,4,3400000000.0,Oa,Oa,Ml-malate
316,D9,4,3800000000.0,Oa,Oa,Ml-malate
317,D10,4,780000000.0,Oa,Oa,Oa-malate
318,D11,4,580000000.0,Oa,Oa,Oa-malate
319,D12,4,700000000.0,Oa,Oa,Oa-malate
320,E1,4,,Oa,At,No-CS
321,E2,4,,Oa,At,No-CS
322,E3,4,,Oa,At,No-CS
323,E7,4,,Oa,Ml,No-CS
324,E8,4,,Oa,Ml,No-CS
325,E9,4,,Oa,Ml,No-CS
326,E10,4,3000000.0,Oa,Oa,No-CS
327,E11,4,2400000.0,Oa,Oa,No-CS
328,F1,4,,Oa,Ct+Ml,At-malate
329,F2,4,,Oa,Ct+Ml,At-malate
330,F3,4,,Oa,Ct+Ml,At-malate
331,F4,4,,Oa,At+Ml,Ct-malate
332,F5,4,,Oa,At+Ml,Ct-malate
333,F6,4,,Oa,At+Ml,Ct-malate
334,F7,4,,Oa,At+Ct,Ml-malate
335,F8,4,,Oa,At+Ct,Ml-malate
336,F9,4,,Oa,At+Ct,Ml-malate
337,F10,4,,Oa,At+Ct,Oa-malate
338,F11,4,,Oa,At+Ct,Oa-malate
339,F12,4,,Oa,At+Ct,Oa-malate
340,G1,4,134000000.0,Oa,Ct+Oa,At-malate
341,G2,4,580000000.0,Oa,Ct+Oa,At-malate
342,G3,4,400000000.0,Oa,Ct+Oa,At-malate
343,G4,4,240000000.0,Oa,At+Oa,Ct-malate
344,G5,4,400000000.0,Oa,At+Oa,Ct-malate
345,G6,4,170000000.0,Oa,At+Oa,Ct-malate
346,G7,4,4000000000.0,Oa,At+Oa,Ml-malate
347,G8,4,3600000000.0,Oa,At+Oa,Ml-malate
348,G9,4,1800000000.0,Oa,At+Oa,Ml-malate
349,G10,4,,Oa,At+Ml,Oa-malate
350,G11,4,,Oa,At+Ml,Oa-malate
351,G12,4,,Oa,At+Ml,Oa-malate
352,H1,4,640000000.0,Oa,Ml+Oa,At-malate
353,H2,4,560000000.0,Oa,Ml+Oa,At-malate
354,H3,4,560000000.0,Oa,Ml+Oa,At-malate
355,H4,4,380000000.0,Oa,Ml+Oa,Ct-malate
356,H5,4,420000000.0,Oa,Ml+Oa,Ct-malate
357,H6,4,280000000.0,Oa,Ml+Oa,Ct-malate
358,H7,4,260000000.0,Oa,Ct+Oa,Ml-malate
359,H8,4,500000000.0,Oa,Ct+Oa,Ml-malate
360,H9,4,700000000.0,Oa,Ct+Oa,Ml-malate
361,H10,4,,Oa,Ct+Ml,Oa-malate
362,H11,4,,Oa,Ct+Ml,Oa-malate
363,H12,4,,Oa,Ct+Ml,Oa-malate
