Focal species,Partner species,Medium,log10 ratio,log10 ratio std,T-test pvalue,Corrected pvalue,log10 pval,log10 adj. pval,Significance annot,Fresh
Ml,Ct,M9_mannose,1.0057809497117844,0.49960433436803925,0.02724423652176409,0.06739363771173222,-1.5647253580307772,-1.1713811010478885,,Fresh
Ct,Oa,M9_mannose,1.415027608271025,0.14623093836844395,3.765395712465137e-05,0.000505638852816747,-4.424189376246974,-3.2961595626615328,***,Fresh
Oa,Ct,M9_mannose,1.26378226398033,0.06254350937875519,3.354879329152254e-08,1.5767932847015594e-06,-7.474323096247834,-5.802225238312116,***,Fresh
Ml,Oa,M9_mannose,2.4725004032961593,0.5107837028480045,0.001580459166062737,0.007819113768941961,-2.801216720439852,-2.1068424677929825,**,Fresh
Oa,Ml,M9_mannose,0.6106344584263681,0.12727437095900457,0.0010840550714406542,0.005994186865613029,-2.964948654499419,-2.222269722277994,**,Fresh
At,Oa,M9_mannose+thiamine,0.18281182565525178,0.1098289478369426,0.01583482102228087,0.04651478675295006,-1.8003868410053674,-1.3324089657255749,*,Fresh
Oa,At,M9_mannose+thiamine,-0.9521644203597592,0.22873300787192838,0.002947353818759457,0.013852562948169448,-2.5305677255985946,-1.8584698676628773,*,Fresh
Ct,Oa,M9_mannose+thiamine,0.5488799527235022,0.22517446535195967,0.0067135400235719305,0.024272029315990824,-2.1730484176408496,-1.614893912011969,*,Fresh
Oa,Ct,M9_mannose+thiamine,0.18130543207168515,0.23136534101534864,0.20654124406038174,0.28977428271158034,-0.684993211420207,-0.5379401605213348,,Fresh
Ml,Oa,M9_mannose+thiamine,3.3017813731989127,0.2242169237709886,1.1051418447472836e-07,3.4627777802081558e-06,-6.956581976786531,-5.460575377906494,***,Fresh
Oa,Ml,M9_mannose+thiamine,0.04631994086460267,0.24820740729010932,0.7270059862457601,0.7765745762170618,-0.13846201309859985,-0.10981683164906986,,Fresh
At,Ml,M9_mannose+thiamine+biotin+cysteine+proline,-0.16592213238720177,0.1161908529529555,0.036703352757373395,0.08214559902840712,-1.4352942622460134,-1.0854156990442152,,Fresh
Ml,At,M9_mannose+thiamine+biotin+cysteine+proline,0.13226881167500792,0.17780021368303928,0.18975539303816,0.2787073245316476,-0.7218058721732994,-0.5548516177169874,,Fresh
Ct,Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.633939568364088,0.13150282647093414,0.0010081142742521384,0.005922671361231313,-2.9964902358823537,-2.2274823649385795,**,Fresh
Ml,Ct,M9_mannose+thiamine+biotin+cysteine+proline,0.18049774985579958,0.16203510910482755,0.07739487480757294,0.14550236463823712,-1.1112877979280542,-0.8371299486643744,,Fresh
Ml,Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.5350225201702301,0.23994917897543963,0.005491566738178923,0.021508636391200785,-2.260303734115648,-1.6673871222275551,*,Fresh
Oa,Ml,M9_mannose+thiamine+biotin+cysteine+proline,-0.9070972325125783,0.6972437338104919,0.05975502318075609,0.12482160397757938,-1.2236255807900653,-0.9037102409657104,,Fresh
Ct,Ml,At_malate,-0.23180339785659942,0.15984574632853896,0.10371523052974012,0.17103915210167667,-0.9841574630002721,-0.7669044650730649,,Spent
Ml,Ct,At_malate,0.8725584948369169,0.1191605378838862,0.006062335474417518,0.02279438138380987,-2.2173600345376667,-1.6421721896100057,*,Spent
Ct,Oa,At_malate,-0.1824138720810078,0.19946562763526438,0.18975817840452602,0.2787073245316476,-0.7217994973327989,-0.5548516177169874,,Spent
Oa,Ct,At_malate,-1.0165283582733249,0.423991973022022,0.015652020293518535,0.04651478675295006,-1.805429597689489,-1.3324089657255749,*,Spent
Ml,Oa,At_malate,0.4969204584246283,0.24262554845263726,0.07099699933137872,0.1413745768072666,-1.1487600062296992,-0.8496286820880196,,Spent
Oa,Ml,At_malate,-0.7465406100264644,0.2673362473041638,0.037754536931647105,0.08253317375755413,-1.4230308520881483,-1.0833714540680361,,Spent
At,Ml,Ct_malate,-0.2717695230608008,0.3020034429428785,0.24919827361852886,0.3444799664726722,-0.6034549706827863,-0.462836029789324,,Spent
