,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
426,Inoculum,0,177339.90147783252,Ct,,,0.001
427,A1,2,10600000.0,Ct,Ct,At_mannose,0.001
430,A4,2,9000000.0,Ct,Ct+Ml,At_mannose,0.001
431,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001
434,A8,2,860000000.0,Ct,Ct,Ml_mannose,0.001
436,A10,2,840000000.0,Ct,At+Ct,Ml_mannose,0.001
438,A12,2,400000000.0,Ct,Ct+Oa,Ml_mannose,0.001
439,B1,2,8200000.0,Ct,Ct,At_mannose,0.001
442,B4,2,7800000.0,Ct,Ct+Ml,At_mannose,0.001
443,B5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001
446,B8,2,720000000.0,Ct,Ct,Ml_mannose,0.001
448,B10,2,580000000.0,Ct,At+Ct,Ml_mannose,0.001
450,B12,2,600000000.0,Ct,Ct+Oa,Ml_mannose,0.001
453,C4,2,7600000.0,Ct,Ct+Ml,At_mannose,0.001
454,C5,2,5200000.0,Ct,Ct+Oa,At_mannose,0.001
457,C8,2,760000000.0,Ct,Ct,Ml_mannose,0.001
459,C10,2,540000000.0,Ct,At+Ct,Ml_mannose,0.001
461,C12,2,520000000.0,Ct,Ct+Oa,Ml_mannose,0.001
469,D8,2,12400000.0,Ct,Ct,Oa_mannose,0.001
471,D10,2,14400000.0,Ct,At+Ct,Oa_mannose,0.001
473,D12,2,9600000.0,Ct,Ct+Ml,Oa_mannose,0.001
481,E8,2,11400000.0,Ct,Ct,Oa_mannose,0.001
483,E10,2,16800000.0,Ct,At+Ct,Oa_mannose,0.001
485,E12,2,14600000.0,Ct,Ct+Ml,Oa_mannose,0.001
493,F8,2,15800000.0,Ct,Ct,Oa_mannose,0.001
495,F10,2,14600000.0,Ct,At+Ct,Oa_mannose,0.001
497,F12,2,12000000.0,Ct,Ct+Ml,Oa_mannose,0.001
501,G4,2,2400000.0,Ct,Ct,No_CS,0.001
502,G5,2,4200000.0,Ct,Ct,No_CS,0.001
503,G6,2,4400000.0,Ct,Ct,No_CS,0.001
513,H4,2,10800000.0,Ct,Ct,Ct_isoleucine,0.001
514,H5,2,10600000.0,Ct,Ct,Ct_isoleucine,0.001
515,H6,2,11000000.0,Ct,Ct,Ct_isoleucine,0.001
522,Inoculum,0,758893.280632411,Ml,,,0.001
523,Inoculum,0,924901.185770751,Ml,,,0.001
524,Inoculum,0,948616.6007905138,Ml,,,0.001
525,Inoculum,0,853754.9407114624,Ml,,,0.001
527,A2,2,8000000.0,Ml,Ml,At_mannose,0.001
529,A4,2,4800000.0,Ml,Ct+Ml,At_mannose,0.001
531,A6,2,8000000.0,Ml,Ml+Oa,At_mannose,0.001
539,B2,2,10000000.0,Ml,Ml,At_mannose,0.001
541,B4,2,9000000.0,Ml,Ct+Ml,At_mannose,0.001
543,B6,2,16000000.0,Ml,Ml+Oa,At_mannose,0.001
550,C2,2,14000000.0,Ml,Ml,At_mannose,0.001
552,C4,2,10400000.0,Ml,Ct+Ml,At_mannose,0.001
554,C6,2,18000000.0,Ml,Ml+Oa,At_mannose,0.001
562,D2,2,42000000.0,Ml,Ml,Ct_isoleucine,0.001
564,D4,2,96000000.0,Ml,At+Ml,Ct_isoleucine,0.001
566,D6,2,180000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
569,D9,2,38000000.0,Ml,Ml,Oa_mannose,0.001
571,D11,2,66000000.0,Ml,At+Ml,Oa_mannose,0.001
572,D12,2,6800000.0,Ml,Ct+Ml,Oa_mannose,0.001
574,E2,2,42000000.0,Ml,Ml,Ct_isoleucine,0.001
576,E4,2,86000000.0,Ml,At+Ml,Ct_isoleucine,0.001
578,E6,2,140000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
581,E9,2,30000000.0,Ml,Ml,Oa_mannose,0.001
583,E11,2,56000000.0,Ml,At+Ml,Oa_mannose,0.001
584,E12,2,8400000.0,Ml,Ct+Ml,Oa_mannose,0.001
586,F2,2,40000000.0,Ml,Ml,Ct_isoleucine,0.001
588,F4,2,96000000.0,Ml,At+Ml,Ct_isoleucine,0.001
590,F6,2,220000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
593,F9,2,24000000.0,Ml,Ml,Oa_mannose,0.001
