Sample ID,Medium no. ,Medium,OD600,Hours
4A,4,Δasp,1.482,41.0
4B,4,Δasp,1.672,41.0
5A,5,Δcys,0.207,41.0
5B,5,Δcys,0.209,41.0
6A,6,Δglu,1.582,41.0
6B,6,Δglu,1.577,41.0
7A,7,Δgln,1.491,41.0
7B,7,Δgln,1.405,41.0
8A,8,Δgly,1.672,41.0
8B,8,Δgly,1.648,41.0
9A,9,Δhis,1.592,41.0
9B,9,Δhis,1.71,41.0
10A,10,Δile,1.257,41.0
10B,10,Δile,1.281,41.0
11A,11,Δleu,1.52,41.0
11B,11,Δleu,1.649,41.0
12A,12,Δlys,1.275,41.0
12B,12,Δlys,1.276,41.0
13A,13,Δmet,1.554,41.0
13B,13,Δmet,1.558,41.0
14A,14,Δphe,1.663,41.0
14B,14,Δphe,1.673,41.0
15A,15,Δpro,0.652,41.0
15B,15,Δpro,0.526,41.0
16A,16,Δser,1.566,41.0
16B,16,Δser,1.564,41.0
17A,17,Δthr,1.647,41.0
17B,17,Δthr,1.646,41.0
18A,18,Δtrp,1.682,41.0
18B,18,Δtrp,1.658,41.0
19A,19,Δtyr,1.743,41.0
19B,19,Δtyr,1.641,41.0
20A,20,Δval,1.686,41.0
20B,20,Δval,1.66,41.0
21A,21,all AA,1.641,41.0
21B,21,all AA,1.593,41.0
22A,22,No AA,0.006,41.0
22B,22,No AA,0.007,41.0
1A,1,Δala,1.62,52.0
1B,1,Δala,1.566,52.0
2A,2,Δarg,1.65,52.0
2B,2,Δarg,1.656,52.0
3A,3,Δasn,1.701,52.0
3B,3,Δasn,1.593,52.0
4A,4,Δasp,1.578,52.0
4B,4,Δasp,1.525,52.0
5A,5,Δcys,0.267,52.0
5B,5,Δcys,0.274,52.0
6A,6,Δglu,1.512,52.0
6B,6,Δglu,1.479,52.0
7A,7,Δgln,1.433,52.0
7B,7,Δgln,1.428,52.0
8A,8,Δgly,1.591,52.0
8B,8,Δgly,1.587,52.0
9A,9,Δhis,1.597,52.0
9B,9,Δhis,1.722,52.0
10A,10,Δile,1.386,52.0
10B,10,Δile,1.461,52.0
11A,11,Δleu,1.576,52.0
11B,11,Δleu,1.637,52.0
12A,12,Δlys,1.437,52.0
12B,12,Δlys,1.374,52.0
13A,13,Δmet,1.621,52.0
13B,13,Δmet,1.515,52.0
14A,14,Δphe,1.704,52.0
14B,14,Δphe,1.653,52.0
15A,15,Δpro,0.96,52.0
15B,15,Δpro,0.777,52.0
16A,16,Δser,1.592,52.0
16B,16,Δser,1.542,52.0
17A,17,Δthr,1.668,52.0
17B,17,Δthr,1.609,52.0
18A,18,Δtrp,1.716,52.0
18B,18,Δtrp,1.661,52.0
19A,19,Δtyr,1.71,52.0
19B,19,Δtyr,1.654,52.0
20A,20,Δval,1.664,52.0
20B,20,Δval,1.694,52.0
21A,21,all AA,1.649,52.0
21B,21,all AA,1.552,52.0
22A,22,No AA,0.003,52.0
22B,22,No AA,0.005,52.0
1A,1,Δala,1.516,72.5
1B,1,Δala,1.511,72.5
2A,2,Δarg,1.644,72.5
2B,2,Δarg,1.578,72.5
3A,3,Δasn,1.526,72.5
3B,3,Δasn,1.445,72.5
4A,4,Δasp,1.524,72.5
4B,4,Δasp,1.529,72.5
5A,5,Δcys,0.744,72.5
5B,5,Δcys,0.832,72.5
6A,6,Δglu,1.406,72.5
6B,6,Δglu,1.451,72.5
7A,7,Δgln,1.352,72.5
7B,7,Δgln,1.331,72.5
8A,8,Δgly,1.585,72.5
8B,8,Δgly,1.519,72.5
9A,9,Δhis,1.483,72.5
9B,9,Δhis,1.477,72.5
10A,10,Δile,1.351,72.5
10B,10,Δile,1.288,72.5
11A,11,Δleu,1.465,72.5
11B,11,Δleu,1.411,72.5
12A,12,Δlys,1.376,72.5
12B,12,Δlys,1.335,72.5
13A,13,Δmet,1.489,72.5
13B,13,Δmet,1.377,72.5
14A,14,Δphe,1.539,72.5
14B,14,Δphe,1.497,72.5
