,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
271,H2,4,3400000.0,Ml,Ml+Oa,At-malate
272,H3,4,8000000.0,Ml,Ml+Oa,At-malate
273,H4,4,58000000.0,Ml,Ml+Oa,Ct-malate
274,H5,4,56000000.0,Ml,Ml+Oa,Ct-malate
275,H6,4,60000000.0,Ml,Ml+Oa,Ct-malate
276,H7,4,,Ml,Ct+Oa,Ml-malate
277,H8,4,,Ml,Ct+Oa,Ml-malate
278,H9,4,,Ml,Ct+Oa,Ml-malate
279,H10,4,8800000.0,Ml,Ct+Ml,Oa-malate
280,H11,4,11200000.0,Ml,Ct+Ml,Oa-malate
281,H12,4,8600000.0,Ml,Ct+Ml,Oa-malate
282,Inoculum,0,6274509.803921568,Oa,,
283,Inoculum,0,12156862.74509804,Oa,,
284,Inoculum,0,705882.3529411765,Oa,,
285,A1,4,,Oa,At,At-malate
286,A2,4,,Oa,At,At-malate
287,A3,4,,Oa,At,At-malate
288,A4,4,,Oa,At,Ct-malate
289,A5,4,,Oa,At,Ct-malate
290,A6,4,,Oa,At,Ct-malate
291,A7,4,,Oa,At,Ml-malate
292,A8,4,,Oa,At,Ml-malate
293,A9,4,,Oa,At,Ml-malate
294,A12,4,,Oa,At,Oa-malate
295,B1,4,,Oa,Ct,At-malate
296,B2,4,,Oa,Ct,At-malate
297,B3,4,,Oa,Ct,At-malate
298,B4,4,,Oa,Ct,Ct-malate
299,B5,4,,Oa,Ct,Ct-malate
300,B6,4,,Oa,Ct,Ct-malate
301,B7,4,,Oa,Ct,Ml-malate
302,B8,4,,Oa,Ct,Ml-malate
303,B9,4,,Oa,Ct,Ml-malate
304,B10,4,,Oa,Ct,Oa-malate
305,B11,4,,Oa,Ct,Oa-malate
306,B12,4,,Oa,Ct,Oa-malate
307,C1,4,,Oa,Ml,At-malate
308,C2,4,,Oa,Ml,At-malate
309,C3,4,,Oa,Ml,At-malate
310,C4,4,,Oa,Ml,Ct-malate
311,C5,4,,Oa,Ml,Ct-malate
312,C6,4,,Oa,Ml,Ct-malate
313,C7,4,,Oa,Ml,Ml-malate
314,C8,4,,Oa,Ml,Ml-malate
315,C9,4,,Oa,Ml,Ml-malate
316,C10,4,,Oa,Ml,Oa-malate
317,C11,4,,Oa,Ml,Oa-malate
318,C12,4,,Oa,Ml,Oa-malate
319,D1,4,2400000000.0,Oa,Oa,At-malate
320,D2,4,6600000000.0,Oa,Oa,At-malate
321,D3,4,2200000000.0,Oa,Oa,At-malate
322,D4,4,1780000000.0,Oa,Oa,Ct-malate
323,D5,4,1000000000.0,Oa,Oa,Ct-malate
324,D7,4,3800000000.0,Oa,Oa,Ml-malate
325,D8,4,3400000000.0,Oa,Oa,Ml-malate
326,D9,4,3800000000.0,Oa,Oa,Ml-malate
327,D10,4,780000000.0,Oa,Oa,Oa-malate
328,D11,4,580000000.0,Oa,Oa,Oa-malate
329,D12,4,700000000.0,Oa,Oa,Oa-malate
330,E1,4,,Oa,At,No-CS
331,E2,4,,Oa,At,No-CS
332,E3,4,,Oa,At,No-CS
333,E4,4,,Oa,Ct,No-CS
334,E5,4,,Oa,Ct,No-CS
335,E7,4,,Oa,Ml,No-CS
336,E8,4,,Oa,Ml,No-CS
337,E9,4,,Oa,Ml,No-CS
338,E10,4,3000000.0,Oa,Oa,No-CS
339,E11,4,2400000.0,Oa,Oa,No-CS
340,F1,4,,Oa,Ct+Ml,At-malate
341,F2,4,,Oa,Ct+Ml,At-malate
342,F3,4,,Oa,Ct+Ml,At-malate
343,F4,4,,Oa,At+Ml,Ct-malate
344,F5,4,,Oa,At+Ml,Ct-malate
345,F6,4,,Oa,At+Ml,Ct-malate
346,F7,4,,Oa,At+Ct,Ml-malate
347,F8,4,,Oa,At+Ct,Ml-malate
348,F9,4,,Oa,At+Ct,Ml-malate
349,F10,4,,Oa,At+Ct,Oa-malate
350,F11,4,,Oa,At+Ct,Oa-malate
351,F12,4,,Oa,At+Ct,Oa-malate
352,G1,4,134000000.0,Oa,Ct+Oa,At-malate
353,G2,4,580000000.0,Oa,Ct+Oa,At-malate
354,G3,4,400000000.0,Oa,Ct+Oa,At-malate
355,G4,4,240000000.0,Oa,At+Oa,Ct-malate
356,G5,4,400000000.0,Oa,At+Oa,Ct-malate
357,G6,4,170000000.0,Oa,At+Oa,Ct-malate
358,G7,4,4000000000.0,Oa,At+Oa,Ml-malate
359,G8,4,3600000000.0,Oa,At+Oa,Ml-malate
360,G9,4,1800000000.0,Oa,At+Oa,Ml-malate
361,G10,4,,Oa,At+Ml,Oa-malate
362,G11,4,,Oa,At+Ml,Oa-malate
363,G12,4,,Oa,At+Ml,Oa-malate
364,H1,4,640000000.0,Oa,Ml+Oa,At-malate
365,H2,4,560000000.0,Oa,Ml+Oa,At-malate
366,H3,4,560000000.0,Oa,Ml+Oa,At-malate
367,H4,4,380000000.0,Oa,Ml+Oa,Ct-malate
368,H5,4,420000000.0,Oa,Ml+Oa,Ct-malate
369,H6,4,280000000.0,Oa,Ml+Oa,Ct-malate
370,H7,4,260000000.0,Oa,Ct+Oa,Ml-malate
371,H8,4,500000000.0,Oa,Ct+Oa,Ml-malate
372,H9,4,700000000.0,Oa,Ct+Oa,Ml-malate
373,H10,4,,Oa,Ct+Ml,Oa-malate
374,H11,4,,Oa,Ct+Ml,Oa-malate
375,H12,4,,Oa,Ct+Ml,Oa-malate
