,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
178,A1,2,,Ml,Ct,At_mannose
179,A2,2,7400000.0,Ml,Ml,At_mannose
180,A3,2,,Ml,Oa,At_mannose
181,A4,2,13400000.0,Ml,Ct+Ml,At_mannose
182,A5,2,,Ml,Ct+Oa,At_mannose
183,A6,2,10600000.0,Ml,Ml+Oa,At_mannose
184,A8,2,,Ml,Ct,Ml_mannose
185,A9,2,,Ml,Oa,Ml_mannose
186,B1,2,,Ml,Ct,At_mannose
187,B2,2,11400000.0,Ml,Ml,At_mannose
188,B3,2,,Ml,Oa,At_mannose
189,B4,2,58000000.0,Ml,Ct+Ml,At_mannose
190,B5,2,,Ml,Ct+Oa,At_mannose
191,B6,2,48000000.0,Ml,Ml+Oa,At_mannose
192,B8,2,,Ml,Ct,Ml_mannose
193,B10,2,,Ml,At+Ct,Ml_mannose
194,C1,2,,Ml,Ct,At_mannose
195,C2,2,11800000.0,Ml,Ml,At_mannose
196,C3,2,,Ml,Oa,At_mannose
197,C4,2,48000000.0,Ml,Ct+Ml,At_mannose
198,C5,2,,Ml,Ct+Oa,At_mannose
199,C6,2,44000000.0,Ml,Ml+Oa,At_mannose
200,C8,2,,Ml,Ct,Ml_mannose
201,C9,2,,Ml,Oa,Ml_mannose
202,C11,2,,Ml,At+Oa,Ml_mannose
203,D1,2,,Ml,At,Ct_isoleucine
204,D2,2,66000000.0,Ml,Ml,Ct_isoleucine
205,D3,2,,Ml,Oa,Ct_isoleucine
206,D4,2,146000000.0,Ml,At+Ml,Ct_isoleucine
207,D5,2,,Ml,At+Oa,Ct_isoleucine
208,D6,2,118000000.0,Ml,Ml+Oa,Ct_isoleucine
209,D8,2,,Ml,Ct,Oa_mannose
210,D11,2,44000000.0,Ml,At+Ml,Oa_mannose
211,D12,2,36000000.0,Ml,Ct+Ml,Oa_mannose
212,E2,2,104000000.0,Ml,Ml,Ct_isoleucine
213,E3,2,,Ml,Oa,Ct_isoleucine
214,E4,2,280000000.0,Ml,At+Ml,Ct_isoleucine
215,E6,2,300000000.0,Ml,Ml+Oa,Ct_isoleucine
216,E11,2,60000000.0,Ml,At+Ml,Oa_mannose
217,F2,2,68000000.0,Ml,Ml,Ct_isoleucine
218,F3,2,,Ml,Oa,Ct_isoleucine
219,F4,2,240000000.0,Ml,At+Ml,Ct_isoleucine
220,F6,2,150000000.0,Ml,Ml+Oa,Ct_isoleucine
221,F11,2,60000000.0,Ml,At+Ml,Oa_mannose
222,G1,2,,Ml,At,No_CS
223,G2,2,,Ml,At,No_CS
224,G3,2,,Ml,At,No_CS
225,G4,2,,Ml,Ct,No_CS
226,G5,2,,Ml,Ct,No_CS
227,G6,2,,Ml,Ct,No_CS
228,G7,2,12000.0,Ml,Ml,No_CS
229,G8,2,18000.0,Ml,Ml,No_CS
230,G9,2,120000.0,Ml,Ml,No_CS
231,G10,2,,Ml,Oa,No_CS
232,G11,2,,Ml,Oa,No_CS
233,G12,2,,Ml,Oa,No_CS
234,H3,2,,Ml,At,At_mannose
235,H4,2,,Ml,Ct,Ct_isoleucine
236,H5,2,,Ml,Ct,Ct_isoleucine
237,H6,2,,Ml,Ct,Ct_isoleucine
238,H7,2,9200000.0,Ml,Ml,Ml_mannose
239,H8,2,10600000.0,Ml,Ml,Ml_mannose
240,H9,2,8400000.0,Ml,Ml,Ml_mannose
241,H11,2,,Ml,Oa,Oa_mannose
242,H12,2,,Ml,Oa,Oa_mannose
243,Inoculum,0,,Oa,,
244,Inoculum,0,,Oa,,
245,Inoculum,0,,Oa,,
246,Inoculum,0,,Oa,,
247,Inoculum,0,,Oa,,
248,Inoculum,0,,Oa,,
249,Inoculum,0,,Oa,,
250,Inoculum,0,,Oa,,
251,Inoculum,0,,Oa,,
252,Inoculum,0,,Oa,,
253,Inoculum,0,,Oa,,
254,Inoculum,0,,Oa,,
255,Inoculum,0,1098039.2156862745,Oa,,
256,Inoculum,0,1019607.8431372549,Oa,,
257,Inoculum,0,1294117.6470588236,Oa,,
258,Inoculum,0,1137254.9019607843,Oa,,
259,A1,2,,Oa,Ct,At_mannose
260,A2,2,,Oa,Ml,At_mannose
261,A3,2,440000000.0,Oa,Oa,At_mannose
262,A4,2,,Oa,Ct+Ml,At_mannose
263,A5,2,420000000.0,Oa,Ct+Oa,At_mannose
264,A6,2,420000000.0,Oa,Ml+Oa,At_mannose
265,A8,2,,Oa,Ct,Ml_mannose
266,A9,2,1080000000.0,Oa,Oa,Ml_mannose
267,B1,2,,Oa,Ct,At_mannose
268,B2,2,,Oa,Ml,At_mannose
269,B3,2,460000000.0,Oa,Oa,At_mannose
270,B4,2,,Oa,Ct+Ml,At_mannose
