,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
127,B4,2,7800000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
128,B5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
129,B8,2,720000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
130,B10,2,580000000.0,Ct,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
131,B12,2,600000000.0,Ct,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
132,C4,2,7600000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
133,C5,2,5200000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
134,C8,2,760000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
135,C10,2,540000000.0,Ct,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
136,C12,2,520000000.0,Ct,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
137,D8,2,12400000.0,Ct,Ct,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
138,D10,2,14400000.0,Ct,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
139,D12,2,9600000.0,Ct,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
140,E8,2,11400000.0,Ct,Ct,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
141,E10,2,16800000.0,Ct,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
142,E12,2,14600000.0,Ct,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
143,F8,2,15800000.0,Ct,Ct,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
144,F10,2,14600000.0,Ct,At+Ct,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
145,F12,2,12000000.0,Ct,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
146,G4,2,2400000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
147,G5,2,4200000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
148,G6,2,4400000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
149,H4,2,10800000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
150,H5,2,10600000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
151,H6,2,11000000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
152,A2,2,8000000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
153,A4,2,4800000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
154,A6,2,8000000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
155,B2,2,10000000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
156,B4,2,9000000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
157,B6,2,16000000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
158,C2,2,14000000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
159,C4,2,10400000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
160,C6,2,18000000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
161,D2,2,42000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
162,D4,2,96000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
163,D6,2,180000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
164,D9,2,38000000.0,Ml,Ml,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
165,D11,2,66000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
