,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
192,H5,5,,Ct,At,M9_mannose+thiamine
193,H6,5,1000000.0,Ct,Ct,M9_mannose+thiamine
194,H7,5,,Ct,Ml,M9_mannose+thiamine
195,H8,5,,Ct,Oa,M9_mannose+thiamine
196,H9,5,,Ct,At,M9_mannose+thiamine+biotin+cysteine+proline
197,H10,5,500000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline
198,H11,5,,Ct,Ml,M9_mannose+thiamine+biotin+cysteine+proline
199,H12,5,,Ct,Oa,M9_mannose+thiamine+biotin+cysteine+proline
200,Inoculum,0,3414634.1463414636,Ml,,
201,Inoculum,0,2926829.2682926827,Ml,,
202,Inoculum,0,3414634.1463414636,Ml,,
203,Inoculum,0,4390243.902439024,Ml,,
204,A1,5,,Ml,At+Ct,M9_mannose
205,A2,5,960000000.0,Ml,At+Ml,M9_mannose
206,A3,5,,Ml,At+Oa,M9_mannose
207,A4,5,2000000.0,Ml,Ct+Ml,M9_mannose
208,A5,5,,Ml,Ct+Oa,M9_mannose
209,A6,5,80000000.0,Ml,Ml+Oa,M9_mannose
210,A7,5,,Ml,At+Oa,M9_mannose+thiamine
211,A8,5,,Ml,Ct+Oa,M9_mannose+thiamine
212,A9,5,580000000.0,Ml,Ml+Oa,M9_mannose+thiamine
213,A10,5,6400000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
214,A11,5,6600000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
215,A12,5,14000000000.0,Ml,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
216,B1,5,,Ml,At+Ct,M9_mannose
217,B2,5,840000000.0,Ml,At+Ml,M9_mannose
218,B3,5,,Ml,At+Oa,M9_mannose
219,B4,5,1800000.0,Ml,Ct+Ml,M9_mannose
220,B5,5,,Ml,Ct+Oa,M9_mannose
221,B6,5,54000000.0,Ml,Ml+Oa,M9_mannose
222,B7,5,,Ml,At+Oa,M9_mannose+thiamine
223,B8,5,,Ml,Ct+Oa,M9_mannose+thiamine
224,B9,5,480000000.0,Ml,Ml+Oa,M9_mannose+thiamine
225,B10,5,4000000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
226,B11,5,4200000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
